Wort
auf der Flucht
in Frage stehen
ins Wanken geraten
ins Wanken kommen
nicht sichern sein
zur Disposition stehen
nicht so sicher
mit übel Beigeschmack
übel nachgeschmack hinterlassend
ohne Freude dabei
ohne sich anstrengen
vom Leben enttäuschen
in blind Wut
in maßlos Wut
wie eine Furie
kurz vorm explodieren
fallen bald auseinander
alt und klapprig
aufs Spiel setzen
einem Risiko aussetzen
in Gefahr bringen
bieten keine Überraschung
bieten wenig Überraschung
mit brachial Methode
mit dem Vorschlaghammer
mit der Brechstange
Anwendung unmittelbar Zwang
durch unmittelbar Zwang
keine Rolle spielen
dasselbe in Grün
vom Pech verfolgen
vom Unglück verfolgen
Saft und kraftlos
unter aller Kanone
unter aller Sau
zur Hälfte fertigstellen
aus dem Hinterhalt
in aller Eile
in fliegend haben
für ehrlos erklären
nur so tun
ein Mäntelchen umhängen
keinen Rat wissen
nicht mehr erforderlich
nicht weiter beachtenswert
am absolut Nullpunkt
am absolut Tiefpunkt
in absolut Verzweiflung
in völlig Verzweiflung
ohne jede Chance
mit hoch Bedarf
mit hoch Verbrauch
Nerv liegen blank
kurz vorm Durchdrehen
kein schön Anblick
nicht sehr einnehmend
gegen das Gesetz
Aufgabe nicht wachsen
mit angezogen Handbremse
mit halb Kraft
fehl am Platz
gegen die Etikett
gehören sich nicht
gegen die Vernunft
nicht bei Sinn
nicht richtig ticken
unter Quarantäne stellen
ein Tränchen verdrücken
zu Fall bringen
gegenteilig Effekt haben
genau entgegengesetzt auswirken
ins Gegenteil umschlagen
ins Gegenteil verkehren
rechtlich Schritt einleiten
vor Gericht gehen
vor Gericht ziehen
von klein wachsen
klein und gemein
nicht leiden können
schlecht Stimmung verbreiten
in sich zusammensinken
in sich zusammenstürzen
in Ohnmacht fallen
in Konflikt geraten
in Konflikt stehen
kontrovers diskutieren werden
im Innere treffen
ins Herz treffen
ins Mark treffen
auf allen vieren
die stiefeln lecken
im Schneckentempo vorwärtsbewegen
ins Gericht gehen
unter Beschuß nehmen
beredt Klage führen
ans Bein pinkeln
krumm und schief
nicht ganz astrein
nicht ganz lupenrein
nicht ganz kosch
von zweifelhaft Ruf
zum Himmel stinken
ein Kämpfchen machen
nicht mehr vertrauen
Vertrauen verspielen haben
sehr zum Pech
zu allem Unglück
zu mein Bedauern
zu mein Leidwesen
zu mein Unglück
in Abrede stellen
nicht wahrhaben wollen
vom Hals schaffen
von sich schieben
Los sein wollen
zum Alteisen werfen
nicht der allerneu
Entladen eines Schiff
nichts entgegensetzen haben
zu verheimlichen versuchen
auf Abstand bleiben
Versuch zu vermeiden
einen Bogen machen
vor etwas drücken
nicht mehr kommen
schwer ums Herz
böse Kind sein
mit Fuß treten
nichts sagen lassen
aggressiv nicht beachten
gezielt nicht beachten
keine Beachtung schenken
keine Notiz nehmen
keinen Blick gönnen
nicht mehr kennen
wie Luft behandeln
keines Blick würdigen
nicht bestimmungsgemäß gebrauchen
zum Sex zwingen
nicht rechter sein
ein Problem haben
etwas haben gegen
nichts übrig haben
nicht gut werden
unter Schlafmangel leiden
vor Müdigkeit umfallen
auf schädlich Weise
